Date : 2024-07-28 09:57:39
Directory : c:\xampp\htdocs\school
Total : 206 files,  20340 codes, 6838 comments, 4030 blanks, all 31208 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\school\vendor\composer\autoload_classmap.php                               | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\school\vendor\composer\autoload_files.php                                  | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\school\vendor\composer\autoload_namespaces.php                             | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\school\vendor\composer\autoload_psr4.php                                   | PHP        |          7 |          1 |          4 |         12 |
| c:\xampp\htdocs\school\vendor\composer\autoload_real.php                                   | PHP        |         35 |          4 |         12 |         51 |
| c:\xampp\htdocs\school\vendor\composer\autoload_static.php                                 | PHP        |         36 |          1 |          9 |         46 |
| c:\xampp\htdocs\school\vendor\composer\installed.json                                      | JSON       |        162 |          0 |          1 |        163 |
| c:\xampp\htdocs\school\vendor\composer\installed.php                                       | PHP        |         41 |          0 |          1 |         42 |
| c:\xampp\htdocs\school\vendor\composer\platform_check.php                                  | PHP        |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\Ctype.php                             | PHP        |         76 |        127 |         30 |        233 |
| c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\README.md                             | Markdown   |          8 |          0 |          5 |         13 |
| c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\bootstrap.php                         | PHP        |         38 |          8 |          5 |         51 |
| c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\bootstrap80.php                       | PHP        |         35 |          8 |          4 |         47 |
| c:\xampp\htdocs\school\vendor\symfony\polyfill-ctype\composer.json                         | JSON       |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\CHANGELOG.md                                    | Markdown   |        182 |          0 |         82 |        264 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Command\LintCommand.php                         | PHP        |        203 |         15 |         56 |        274 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Dumper.php                                      | PHP        |        113 |         29 |         37 |        179 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Escaper.php                                     | PHP        |         41 |         45 |         10 |         96 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Exception\DumpException.php                     | PHP        |          5 |         13 |          4 |         22 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Exception\ExceptionInterface.php                | PHP        |          5 |         13 |          4 |         22 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Exception\ParseException.php                    | PHP        |         63 |         39 |         20 |        122 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Exception\RuntimeException.php                  | PHP        |          5 |         13 |          4 |         22 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Inline.php                                      | PHP        |        595 |        115 |        126 |        836 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Parser.php                                      | PHP        |        900 |        129 |        216 |      1,245 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\README.md                                       | Markdown   |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Tag\TaggedValue.php                             | PHP        |         18 |         12 |          6 |         36 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Unescaper.php                                   | PHP        |         56 |         42 |         11 |        109 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\Yaml.php                                        | PHP        |         34 |         53 |         11 |         98 |
| c:\xampp\htdocs\school\vendor\symfony\yaml\composer.json                                   | JSON       |         38 |          0 |          1 |         39 |
| Total                                                                                      |            |     20,340 |      6,838 |      4,030 |     31,208 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
