"filename", "language", "PHP", "Markdown", "JSON", "SQL", "Batch", "XML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\school\spp\core\class.spperror.php", "PHP", 218, 0, 0, 0, 0, 0, 0, 0, 0, 66, 20, 304
"c:\xampp\htdocs\school\spp\core\class.sppevent.php", "PHP", 317, 0, 0, 0, 0, 0, 0, 0, 0, 161, 36, 514
"c:\xampp\htdocs\school\spp\core\class.sppexception.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 18, 4, 63
"c:\xampp\htdocs\school\spp\core\class.sppfs.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 37
"c:\xampp\htdocs\school\spp\core\class.sppglobal.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 52, 9, 118
"c:\xampp\htdocs\school\spp\core\class.sppobject.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 36, 6, 93
"c:\xampp\htdocs\school\spp\core\class.sppsession.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 0, 108, 23, 283
"c:\xampp\htdocs\school\spp\core\class.sppstring.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 51
"c:\xampp\htdocs\school\spp\core\class.spputils.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 72
"c:\xampp\htdocs\school\spp\core\class.sppxml.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 55
"c:\xampp\htdocs\school\spp\core\class.stack.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 56
"c:\xampp\htdocs\school\spp\core\class.xsettings.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 63
"c:\xampp\htdocs\school\spp\core\excelgenerate.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\school\spp\core\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\spp\core\int.imodule.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\school\spp\core\int.sppientity.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\school\spp\core\settings.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 16
"c:\xampp\htdocs\school\spp\core\sppfuncs.php", "PHP", 120, 0, 0, 0, 0, 0, 0, 0, 0, 87, 33, 240
"c:\xampp\htdocs\school\spp\core\sppsystemevents.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\school\spp\core\sppsystemexceptions.php", "PHP", 183, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 213
"c:\xampp\htdocs\school\spp\dev\controls.devsetup.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 59
"c:\xampp\htdocs\school\spp\dev\controls.devsetup.xml", "XML", 0, 0, 0, 0, 0, 121, 0, 0, 0, 7, 2, 130
"c:\xampp\htdocs\school\spp\dev\devconsole.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\xampp\htdocs\school\spp\dev\devsetup.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 56
"c:\xampp\htdocs\school\spp\dev\devsetup1.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 39
"c:\xampp\htdocs\school\spp\dev\index.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 63
"c:\xampp\htdocs\school\spp\dev\model.index.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"c:\xampp\htdocs\school\spp\etc\apps\default\modsconf\modules.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 1, 86
"c:\xampp\htdocs\school\spp\etc\apps\default\modsconf\sppdb\config.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 2, 34
"c:\xampp\htdocs\school\spp\etc\apps\default\modsconf\sppdb\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\xampp\htdocs\school\spp\etc\apps\default\modsconf\sppdojo\dojosources.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 2, 147
"c:\xampp\htdocs\school\spp\etc\apps\default\modsconf\sppentity\config.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 2, 34
"c:\xampp\htdocs\school\spp\etc\apps\default\modules.xml", "XML", 0, 0, 0, 0, 0, 76, 0, 0, 0, 7, 2, 85
"c:\xampp\htdocs\school\spp\etc\apps\default\settings.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 3, 29
"c:\xampp\htdocs\school\spp\etc\apps\demo\modsconf\sppdb\config.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 2, 34
"c:\xampp\htdocs\school\spp\etc\apps\demo\modsconf\sppdojo\dojosources.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 2, 147
"c:\xampp\htdocs\school\spp\etc\apps\demo\modules.xml", "XML", 0, 0, 0, 0, 0, 97, 0, 0, 0, 7, 2, 106
"c:\xampp\htdocs\school\spp\etc\apps\demo\settings.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 2, 25
"c:\xampp\htdocs\school\spp\etc\apps\sppadmin\modsconf\sppdb\config.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 2, 34
"c:\xampp\htdocs\school\spp\etc\apps\sppadmin\modsconf\sppdojo\dojosources.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 2, 147
"c:\xampp\htdocs\school\spp\etc\apps\sppadmin\modules.xml", "XML", 0, 0, 0, 0, 0, 97, 0, 0, 0, 7, 2, 106
"c:\xampp\htdocs\school\spp\etc\apps\sppadmin\settings.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 2, 25
"c:\xampp\htdocs\school\spp\etc\apps\sppdev\modsconf\sppdb\config.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 2, 34
"c:\xampp\htdocs\school\spp\etc\apps\sppdev\modsconf\sppdojo\dojosources.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 2, 147
"c:\xampp\htdocs\school\spp\etc\apps\sppdev\modules.xml", "XML", 0, 0, 0, 0, 0, 97, 0, 0, 0, 7, 2, 106
"c:\xampp\htdocs\school\spp\etc\apps\sppdev\settings.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 2, 25
"c:\xampp\htdocs\school\spp\etc\initrc.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 7
"c:\xampp\htdocs\school\spp\etc\modsconf\sppdojo\dojosources.xml", "XML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 2, 147
"c:\xampp\htdocs\school\spp\etc\modules.xml", "XML", 0, 0, 0, 0, 0, 97, 0, 0, 0, 7, 2, 106
"c:\xampp\htdocs\school\spp\etc\settings.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 2, 28
"c:\xampp\htdocs\school\spp\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\spp\install\appusers.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 13
"c:\xampp\htdocs\school\spp\install\database.sql", "SQL", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 35, 132
"c:\xampp\htdocs\school\spp\install\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\school\spp\install\sysconfigtabvars.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"c:\xampp\htdocs\school\spp\install\sysconfigvars.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 8
"c:\xampp\htdocs\school\spp\install\sysrights.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 9
"c:\xampp\htdocs\school\spp\install\sysroles.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
"c:\xampp\htdocs\school\spp\install\syssequences.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 11
"c:\xampp\htdocs\school\spp\lib\jquery\jquery-3.7.1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6767, 0, 1887, 2063, 10717
"c:\xampp\htdocs\school\spp\modules\class.sppdbentity.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 49, 9, 89
"c:\xampp\htdocs\school\spp\modules\school\schorg\class.schorg.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 44
"c:\xampp\htdocs\school\spp\modules\school\schorg\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 2, 23
"c:\xampp\htdocs\school\spp\modules\school\schorg\orgexceptions.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\school\spp\modules\school\schperson\class.schperson.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 47
"c:\xampp\htdocs\school\spp\modules\school\schperson\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 2, 23
"c:\xampp\htdocs\school\spp\modules\school\schperson\personexceptions.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\school\spp\modules\spp\sppajax\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 2, 23
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\class.sppauth.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 72, 8, 173
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\class.sppright.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 90
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\class.spprole.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 38, 6, 119
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\class.sppuser.php", "PHP", 227, 0, 0, 0, 0, 0, 0, 0, 0, 107, 21, 355
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\class.sppusersession.php", "PHP", 116, 0, 0, 0, 0, 0, 0, 0, 0, 52, 10, 178
"c:\xampp\htdocs\school\spp\modules\spp\sppauth\module.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 2, 28
"c:\xampp\htdocs\school\spp\modules\spp\sppconfig\class.sppconfig.php", "PHP", 174, 0, 0, 0, 0, 0, 0, 0, 0, 78, 10, 262
"c:\xampp\htdocs\school\spp\modules\spp\sppconfig\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 2, 24
"c:\xampp\htdocs\school\spp\modules\spp\sppdb\class.sppdb.php", "PHP", 176, 0, 0, 0, 0, 0, 0, 0, 0, 135, 20, 331
"c:\xampp\htdocs\school\spp\modules\spp\sppdb\class.sppsequence.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 137
"c:\xampp\htdocs\school\spp\modules\spp\sppdb\events\defaults\sppdb_connection.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\xampp\htdocs\school\spp\modules\spp\sppdb\modinit.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\school\spp\modules\spp\sppdb\module.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 2, 25
"c:\xampp\htdocs\school\spp\modules\spp\sppentity\class.sppentity.php", "PHP", 315, 0, 0, 0, 0, 0, 0, 0, 0, 181, 41, 537
"c:\xampp\htdocs\school\spp\modules\spp\sppentity\class.sppentityrelations.php", "PHP", 212, 0, 0, 0, 0, 0, 0, 0, 0, 95, 22, 329
"c:\xampp\htdocs\school\spp\modules\spp\sppentity\entityexceptions.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\school\spp\modules\spp\sppentity\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 2, 23
"c:\xampp\htdocs\school\spp\modules\spp\spplogger\class.spplogger.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 38
"c:\xampp\htdocs\school\spp\modules\spp\spplogger\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 2, 24
"c:\xampp\htdocs\school\spp\modules\spp\sppprofile\class.sppprofile.php", "PHP", 327, 0, 0, 0, 0, 0, 0, 0, 0, 111, 19, 457
"c:\xampp\htdocs\school\spp\modules\spp\sppprofile\module.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 2, 24
"c:\xampp\htdocs\school\spp\modules\spp\sppuserprofile\class.sppuserprofile.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 43
"c:\xampp\htdocs\school\spp\modules\spp\sppview\ajaxexceptions.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.ajax.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 168
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.domevent.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.pages.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 107
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.sppformelement.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 37
"c:\xampp\htdocs\school\spp\modules\spp\sppview\class.spphtmlblock.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 72
